Temperature(K),Pressure(Atm),CompressibilityFactor(Z)
563.1,246.75,0.959719621
573.1,246.75,0.967456072
583.1,246.75,0.974534062
593.1,246.75,0.980834659
603.1,246.75,0.986237466
273.1,296.1,0.552493484
283.1,296.1,0.550760998
293.1,296.1,0.551340052
303.1,296.1,0.554115321
313.1,296.1,0.559051515
323.1,296.1,0.566070408
333.1,296.1,0.575232355
343.1,296.1,0.58751652
353.1,296.1,0.60268659
363.1,296.1,0.621553224
373.1,296.1,0.642300787
383.1,296.1,0.665697664
393.1,296.1,0.690314965
403.1,296.1,0.714432906
413.1,296.1,0.73963711
423.1,296.1,0.762479148
433.1,296.1,0.783868468
443.1,296.1,0.806321708
453.1,296.1,0.824688452
463.1,296.1,0.842962085
473.1,296.1,0.859569253
483.1,296.1,0.875384795
493.1,296.1,0.889843647
513.1,296.1,0.916132978
523.1,296.1,0.927713414
533.1,296.1,0.93751456
543.1,296.1,0.947064419
553.1,296.1,0.95657327
563.1,296.1,0.96464126
573.1,296.1,0.972751621
583.1,296.1,0.979790448
593.1,296.1,0.986323866
603.1,296.1,0.993003211
273.1,345.45,0.636118317
283.1,345.45,0.632621288
293.1,345.45,0.630532199
303.1,345.45,0.631449262
313.1,345.45,0.633928939
323.1,345.45,0.638156756
333.1,345.45,0.644521403
343.1,345.45,0.65327764
353.1,345.45,0.66467474
363.1,345.45,0.67867905
373.1,345.45,0.693882205
383.1,345.45,0.711023148
393.1,345.45,0.729942178
403.1,345.45,0.750276945
413.1,345.45,0.770455323
423.1,345.45,0.789525699
433.1,345.45,0.808600384
443.1,345.45,0.825114676
453.1,345.45,0.840559794
463.1,345.45,0.855818894
473.1,345.45,0.872424831
483.1,345.45,0.886747736
493.1,345.45,0.901041344
513.1,345.45,0.927263272
523.1,345.45,0.939187916
533.1,345.45,0.950023292
543.1,345.45,0.960343928
553.1,345.45,0.970001288
563.1,345.45,0.97854884
573.1,345.45,0.986398029
583.1,345.45,0.993415659
593.1,345.45,0.99946644
603.1,345.45,1.005400864
273.1,394.8,0.718773954
283.1,394.8,0.712531526
293.1,394.8,0.708598091
303.1,394.8,0.70726991
313.1,394.8,0.707816103
323.1,394.8,0.710127244
333.1,394.8,0.714179552
343.1,394.8,0.720047458
353.1,394.8,0.727835025
363.1,394.8,0.737680229
373.1,394.8,0.749958916
383.1,394.8,0.762721185
393.1,394.8,0.776745291
403.1,394.8,0.79123283
413.1,394.8,0.807328499
423.1,394.8,0.82364639
433.1,394.8,0.840147585
443.1,394.8,0.855727614
453.1,394.8,0.869524592
463.1,394.8,0.882251543
473.1,394.8,0.894483172
483.1,394.8,0.907887005
493.1,394.8,0.919359111
513.1,394.8,0.944783971
523.1,394.8,0.955812672
533.1,394.8,0.966628974
543.1,394.8,0.976625601
553.1,394.8,0.985620013
563.1,394.8,0.99368751
573.1,394.8,1.001478233
583.1,394.8,1.009184161
593.1,394.8,1.016450624
603.1,394.8,1.02318187
273.1,444.15,0.800608677
283.1,444.15,0.791573282
293.1,444.15,0.785543725
303.1,444.15,0.782066482
313.1,444.15,0.780293788
323.1,444.15,0.780465607
333.1,444.15,0.782879968
343.1,444.15,0.787462625
353.1,444.15,0.792565421
363.1,444.15,0.799269611
373.1,444.15,0.807442969
383.1,444.15,0.817147599
393.1,444.15,0.828123368
403.1,444.15,0.838860601
413.1,444.15,0.852040977
423.1,444.15,0.866453577
433.1,444.15,0.880018654
443.1,444.15,0.89270854
453.1,444.15,0.903756521
463.1,444.15,0.914407166
473.1,444.15,0.925501673
483.1,444.15,0.936274628
493.1,444.15,0.946384525
513.1,444.15,0.965653679
523.1,444.15,0.975171357
533.1,444.15,0.984700039
543.1,444.15,0.994160168
553.1,444.15,1.003700045
563.1,444.15,1.013011854
573.1,444.15,1.021245869
583.1,444.15,1.028225372
593.1,444.15,1.034307189
603.1,444.15,1.039909547
273.1,493.5,0.879559202
283.1,493.5,0.869389127
293.1,493.5,0.861918113
303.1,493.5,0.856524664
313.1,493.5,0.852916263
323.1,493.5,0.851065011
333.1,493.5,0.851146803
343.1,493.5,0.852818639
353.1,493.5,0.855806246
363.1,493.5,0.860213631
373.1,493.5,0.866067565
383.1,493.5,0.873298894
393.1,493.5,0.881602347
403.1,493.5,0.890136934
413.1,493.5,0.898792525
423.1,493.5,0.908503848
433.1,493.5,0.919424669
443.1,493.5,0.930290742
453.1,493.5,0.940958327
463.1,493.5,0.950796942
473.1,493.5,0.959579711
483.1,493.5,0.968781865
493.1,493.5,0.976934038
503.1,493.5,0.984377049
513.1,493.5,0.99190514
523.1,493.5,0.999649065
533.1,493.5,1.007763165
543.1,493.5,1.016215781
553.1,493.5,1.024534392
563.1,493.5,1.032183086
573.1,493.5,1.039732268
583.1,493.5,1.046871537
593.1,493.5,1.053506222
603.1,493.5,1.059794642
273.1,592.2,1.036386636
283.1,592.2,1.022827514
293.1,592.2,1.011433043
303.1,592.2,1.002089647
313.1,592.2,0.994612034
323.1,592.2,0.98892984
333.1,592.2,0.984890911
343.1,592.2,0.982455757
353.1,592.2,0.981600803
363.1,592.2,0.98209734
373.1,592.2,0.98404488
383.1,592.2,0.987216483
393.1,592.2,0.99075723
403.1,592.2,0.995083651
413.1,592.2,0.999899381
423.1,592.2,1.005545536
433.1,592.2,1.011303771
443.1,592.2,1.017079176
453.1,592.2,1.023369415
463.1,592.2,1.029514084
473.1,592.2,1.035724617
483.1,592.2,1.041590079
493.1,592.2,0.000104733
503.1,592.2,1.053043831
513.1,592.2,1.058642552
523.1,592.2,1.064051049
533.1,592.2,1.069570711
543.1,592.2,1.074952045
553.1,592.2,1.079920875
563.1,592.2,1.084804185
573.1,592.2,1.089757122
583.1,592.2,1.094735732
593.1,592.2,1.099468754
603.1,592.2,1.104123018
273.1,690.9,1.190246812
283.1,690.9,1.172674905
293.1,690.9,1.157437401
303.1,690.9,1.144276564
313.1,690.9,1.133064567
323.1,690.9,1.123695865
333.1,690.9,1.115972686
343.1,690.9,1.10993448
353.1,690.9,1.105411896
363.1,690.9,1.102358845
373.1,690.9,1.099401767
383.1,690.9,1.100036949
393.1,690.9,1.100449585
403.1,690.9,1.10182039
413.1,690.9,1.103302631
423.1,690.9,1.105216475
433.1,690.9,1.107783573
443.1,690.9,1.110668102
453.1,690.9,1.11365306
463.1,690.9,1.116659218
473.1,690.9,1.119765623
483.1,690.9,1.122902386
493.1,690.9,1.126335427
503.1,690.9,1.129325627
513.1,690.9,1.132304563
523.1,690.9,1.135027548
533.1,690.9,1.137975863
543.1,690.9,1.140920047
553.1,690.9,1.144002202
563.1,690.9,1.146981986
573.1,690.9,1.149804173
583.1,690.9,1.152412582
593.1,690.9,1.15496362
603.1,690.9,1.157631051
273.1,789.6,1.340998965
283.1,789.6,1.319754161
293.1,789.6,1.300882024
303.1,789.6,1.284196831
313.1,789.6,1.269540132
323.1,789.6,1.256776853
333.1,789.6,1.245792147
343.1,789.6,1.236365028
353.1,789.6,1.228282139
363.1,789.6,1.221589809
373.1,789.6,1.216223403
383.1,789.6,1.211995308
393.1,789.6,1.20885124
403.1,789.6,1.206743618
413.1,789.6,1.205630805
423.1,789.6,1.205186281
433.1,789.6,1.205208633
443.1,789.6,1.205332202
453.1,789.6,1.205785618
463.1,789.6,1.20618965
473.1,789.6,1.206461744
483.1,789.6,1.207017405
493.1,789.6,1.207975574
503.1,789.6,1.20912312
513.1,789.6,1.210231849
523.1,789.6,0.000121124
533.1,789.6,1.212267149
543.1,789.6,1.213263655
553.1,789.6,1.214561399
563.1,789.6,1.215541491
573.1,789.6,1.216740013
583.1,789.6,1.217922555
593.1,789.6,1.219046926
603.1,789.6,1.220282564
273.1,888.3,1.491987447
283.1,888.3,1.465978555
293.1,888.3,1.442718789
303.1,888.3,1.421861919
313.1,888.3,1.40334917
323.1,888.3,1.386891125
333.1,888.3,1.372348715
343.1,888.3,1.359602235
353.1,888.3,1.348548875
363.1,888.3,1.338964105
373.1,888.3,1.330766943
383.1,888.3,1.323886927
393.1,888.3,1.318119617
403.1,888.3,1.313404312
413.1,888.3,1.309389346
423.1,888.3,1.305705773
433.1,888.3,1.302427608
443.1,888.3,1.299642129
453.1,888.3,1.297290159
463.1,888.3,1.295151259
473.1,888.3,1.29349226
483.1,888.3,1.292098222
493.1,888.3,1.29125989
503.1,888.3,1.290591929
513.1,888.3,1.29022061
523.1,888.3,1.289738309
533.1,888.3,1.2892684
543.1,888.3,1.288758586
553.1,888.3,1.288541954
563.1,888.3,1.288390724
573.1,888.3,1.288063552
583.1,888.3,1.287914244
593.1,888.3,1.287704993
603.1,888.3,1.287394129
273.1,987,1.637743542
283.1,987,1.607727331
293.1,987,1.580723586
303.1,987,1.556485225
313.1,987,1.534661162
323.1,987,1.515067206
333.1,987,1.497543777
343.1,987,1.48181025
353.1,987,1.467742467
363.1,987,1.4552312
373.1,987,1.444033305
383.1,987,1.434207022
393.1,987,1.425375271
403.1,987,1.417611258
413.1,987,1.410848087
423.1,987,1.404551842
433.1,987,1.398804404
443.1,987,1.393538003
453.1,987,1.388687695
463.1,987,1.384190949
473.1,987,1.380157429
483.1,987,1.376536362
493.1,987,1.373278714
503.1,987,1.370693772
513.1,987,1.368208494
523.1,987,1.366137597
533.1,987,1.364258347
543.1,987,1.362527125
553.1,987,1.360900857
563.1,987,1.359533432
573.1,987,1.357992711
583.1,987,1.356632928
593.1,987,1.355216077
603.1,987,1.353909713
273.1,1085.7,1.779130392
283.1,1085.7,1.745696195
293.1,1085.7,1.715533959
303.1,1085.7,1.688074254
313.1,1085.7,1.663228646
323.1,1085.7,1.640642704
333.1,1085.7,1.620135665
343.1,1085.7,1.601397634
353.1,1085.7,1.584437366
363.1,1085.7,1.569130617
373.1,1085.7,1.555057477
383.1,1085.7,1.542267103
393.1,1085.7,1.53050829
403.1,1085.7,1.51985101
413.1,1085.7,1.510217844
423.1,1085.7,1.501374181
433.1,1085.7,1.493248547
443.1,1085.7,1.485941794
453.1,1085.7,1.479227193
463.1,1085.7,1.473217494
473.1,1085.7,1.46751312
483.1,1085.7,1.462407124
493.1,1085.7,1.457674781
503.1,1085.7,1.453083321
513.1,1085.7,1.448946066
523.1,1085.7,1.445035721
533.1,1085.7,1.441306016
543.1,1085.7,1.437904463
553.1,1085.7,1.434599329
563.1,1085.7,1.431545249
573.1,1085.7,1.428707581
583.1,1085.7,1.425848894
593.1,1085.7,1.423133962
603.1,1085.7,1.420530035
273.1,1184.4,1.92306632
283.1,1184.4,1.885204759
293.1,1184.4,1.850725638
303.1,1184.4,1.819325272
313.1,1184.4,1.790740396
323.1,1184.4,1.764742017
333.1,1184.4,1.741130383
343.1,1184.4,1.719571189
353.1,1184.4,1.699748071
363.1,1184.4,1.681519722
373.1,1184.4,1.664921989
383.1,1184.4,1.649680368
393.1,1184.4,1.635691671
403.1,1184.4,1.622862107
413.1,1184.4,1.611106072
423.1,1184.4,1.600345112
433.1,1184.4,1.590162301
443.1,1184.4,1.580653575
453.1,1184.4,1.571750471
463.1,1184.4,1.563566452
473.1,1184.4,1.555866144
483.1,1184.4,1.548591254
493.1,1184.4,1.541870485
503.1,1184.4,1.535656917
513.1,1184.4,1.529716915
523.1,1184.4,1.524192056
533.1,1184.4,1.518847642
543.1,1184.4,1.513832853
553.1,1184.4,1.509307515
563.1,1184.4,1.504840365
573.1,1184.4,1.500591133
583.1,1184.4,1.496730149
593.1,1184.4,1.4928145
603.1,1184.4,1.489013718
273.1,1283.1,2.064554718
283.1,1283.1,2.022938762
293.1,1283.1,1.984793132
303.1,1283.1,1.949788333
313.1,1283.1,1.917804459
323.1,1283.1,1.888423054
333.1,1283.1,1.861423718
343.1,1283.1,1.836611988
353.1,1283.1,1.81381566
363.1,1283.1,1.792881715
373.1,1283.1,1.773503278
383.1,1283.1,1.755726644
393.1,1283.1,1.739269234
403.1,1283.1,1.72402821
413.1,1283.1,1.709909669
423.1,1283.1,1.69682751
433.1,1283.1,1.684702472
443.1,1283.1,1.673100903
453.1,1283.1,1.662308241
463.1,1283.1,1.652077043
473.1,1283.1,1.642527537
483.1,1283.1,1.63341619
493.1,1283.1,1.624684276
503.1,1283.1,1.616657604
513.1,1283.1,1.608908195
523.1,1283.1,1.601774303
533.1,1283.1,1.59482441
543.1,1283.1,1.588209549
553.1,1283.1,1.581889434
563.1,1283.1,1.576028354
573.1,1283.1,1.570184618
583.1,1283.1,1.564522948
593.1,1283.1,1.559217509
603.1,1283.1,1.554028848
273.1,1381.8,2.206381941
283.1,1381.8,2.159686758
293.1,1381.8,2.117076897
303.1,1381.8,2.078010907
313.1,1381.8,2.042350104
323.1,1381.8,2.009643309
333.1,1381.8,1.979650586
343.1,1381.8,1.951984854
353.1,1381.8,1.926459117
363.1,1381.8,1.902907022
373.1,1381.8,1.88100202
383.1,1381.8,1.860429691
393.1,1381.8,1.84124423
403.1,1381.8,1.823514384
413.1,1381.8,1.806959347
423.1,1381.8,1.791668789
433.1,1381.8,0.000177756
443.1,1381.8,1.763630441
453.1,1381.8,1.75072409
463.1,1381.8,1.738777136
473.1,1381.8,1.727539646
483.1,1381.8,1.71695154
493.1,1381.8,1.706956289
503.1,1381.8,1.697305014
513.1,1381.8,1.688139116
523.1,1381.8,1.67921147
533.1,1381.8,1.670470934
543.1,1381.8,1.662273138
553.1,1381.8,1.65437712
563.1,1381.8,1.646948492
573.1,1381.8,1.639746078
583.1,1381.8,1.632942139
593.1,1381.8,1.626506145
603.1,1381.8,1.620195277
613.1,24.675,0.995187553
623.1,24.675,0.997605031
633.1,24.675,0.995873961
643.1,24.675,0.999425107
653.1,24.675,0.998665999
663.1,24.675,0.998359516
673.1,24.675,0.998504827
683.1,24.675,0.999102326
693.1,24.675,1.000153639
703.1,24.675,1.001661631
713.1,24.675,1.00363043
723.1,24.675,1.000567827
733.1,24.675,1.003368034
743.1,24.675,1.000987656
753.1,24.675,1.004628025
763.1,24.675,1.002924934
773.1,24.675,1.001530551
783.1,24.675,1.006397339
793.1,24.675,1.005680311
803.1,24.675,1.005269512
813.1,24.675,1.005164194
823.1,24.675,1.005364165
833.1,24.675,1.005869788
843.1,24.675,1.00027
853.1,24.675,1.001300298
863.1,24.675,1.002636332
873.1,24.675,1.004280546
883.1,24.675,1.006235957
893.1,24.675,1.001691943
903.1,24.675,1.004170104
913.1,24.675,1.006966797
923.1,24.675,1.003023705
933.1,24.675,1.006349148
943.1,24.675,1.010004806
613.1,49.35,0.992899765
623.1,49.35,0.99526872
633.1,49.35,0.995873961
643.1,49.35,0.997005192
653.1,49.35,0.998665999
663.1,49.35,0.998359516
673.1,49.35,1.001045552
683.1,49.35,1.001683986
693.1,49.35,1.000153639
703.1,49.35,1.001661631
713.1,49.35,1.00363043
723.1,49.35,1.003309109
733.1,49.35,1.003368034
743.1,49.35,1.003807339
753.1,49.35,1.004628025
763.1,49.35,1.005831963
773.1,49.35,1.007421907
783.1,49.35,1.006397339
793.1,49.35,1.00871862
803.1,49.35,1.008343731
813.1,49.35,1.008276158
823.1,49.35,1.008515776
833.1,49.35,1.009063025
843.1,49.35,1.009918907
853.1,49.35,1.007802248
863.1,49.35,1.009232624
873.1,49.35,1.007617026
883.1,49.35,1.009623957
893.1,49.35,1.008506174
903.1,49.35,1.00762086
913.1,49.35,1.010475392
923.1,49.35,1.010087252
933.1,49.35,1.009930462
943.1,49.35,1.010004806
613.1,74.025,0.989110072
623.1,74.025,0.99139909
633.1,74.025,0.994295714
643.1,74.025,0.996201155
653.1,74.025,0.997028841
663.1,74.025,0.998359516
673.1,74.025,0.998504827
683.1,74.025,0.999102326
693.1,74.025,1.000153639
703.1,74.025,1.001661631
713.1,74.025,1.001825339
723.1,74.025,1.00422621
733.1,74.025,1.00522957
743.1,74.025,1.006642953
753.1,74.025,1.006545254
763.1,74.025,1.008755893
773.1,74.025,1.009401125
783.1,74.025,1.01040689
793.1,74.025,1.009735473
803.1,74.025,1.01143681
813.1,74.025,1.01140745
823.1,74.025,1.01168721
833.1,74.025,1.012276602
843.1,74.025,1.01317671
853.1,74.025,1.012183997
863.1,74.025,1.013678583
873.1,74.025,1.013227366
883.1,74.025,1.013034848
893.1,74.025,1.013100735
903.1,74.025,1.013425128
913.1,74.025,1.014008523
923.1,74.025,1.014851815
933.1,74.025,1.0159563
943.1,74.025,1.014872299
613.1,98.7,0.988355602
623.1,98.7,0.991784698
633.1,98.7,0.993508465
643.1,98.7,0.994596967
653.1,98.7,0.996212274
663.1,98.7,0.997113125
673.1,98.7,0.998504827
683.1,98.7,1.001683986
693.1,98.7,1.004096426
703.1,98.7,1.005673627
713.1,98.7,1.007715764
723.1,98.7,1.008836983
733.1,98.7,1.010384594
743.1,98.7,1.01092654
753.1,98.7,1.011855565
763.1,98.7,1.011696873
773.1,98.7,1.011886111
783.1,98.7,1.010910331
793.1,98.7,1.010244669
803.1,98.7,1.01143681
813.1,98.7,1.01140745
823.1,98.7,1.013280418
833.1,98.7,1.012276602
843.1,98.7,1.014813506
853.1,98.7,1.014389191
863.1,98.7,1.015916284
873.1,98.7,1.01605603
883.1,98.7,1.016468865
893.1,98.7,1.017155455
903.1,98.7,1.018116911
913.1,98.7,1.017566447
923.1,98.7,1.019057832
933.1,98.7,1.018996265
943.1,98.7,1.019170004
613.1,148.05,0.983106368
623.1,148.05,0.98679507
633.1,148.05,0.989590845
643.1,148.05,0.992200348
653.1,148.05,0.995397043
663.1,148.05,0.997528243
673.1,148.05,1.001895336
683.1,148.05,1.004279022
693.1,148.05,1.006300325
703.1,148.05,1.007916431
713.1,148.05,1.009999798
723.1,148.05,1.011623825
733.1,148.05,1.012745305
743.1,148.05,1.014283507
753.1,148.05,1.016242222
763.1,148.05,1.017630579
773.1,148.05,1.018404703
783.1,148.05,1.019546249
793.1,148.05,1.020017912
803.1,148.05,1.019778557
813.1,148.05,1.020919119
823.1,148.05,1.021322326
833.1,148.05,1.022041328
843.1,148.05,1.023077459
853.1,148.05,1.024432648
863.1,148.05,1.024966763
873.1,148.05,1.025792756
883.1,148.05,1.026912038
893.1,148.05,1.027139083
903.1,148.05,1.027632022
913.1,148.05,1.027177464
923.1,148.05,1.028189174
933.1,148.05,1.028226304
943.1,148.05,1.028503063
613.1,197.4,0.981059393
623.1,197.4,0.985460274
633.1,197.4,0.989981216
643.1,197.4,0.993996727
653.1,197.4,0.998051435
663.1,197.4,1.002117457
673.1,197.4,1.005523072
683.1,197.4,1.008196886
693.1,197.4,1.010737275
703.1,197.4,1.013113042
713.1,197.4,1.014599069
723.1,197.4,1.016538028
733.1,197.4,1.018217032
743.1,197.4,1.021064772
753.1,197.4,1.023638454
763.1,197.4,1.027422731
773.1,197.4,1.023221654
783.1,197.4,1.025472345
793.1,197.4,1.026551462
803.1,197.4,1.027191277
813.1,197.4,1.028171109
823.1,197.4,1.029492905
833.1,197.4,1.030323673
843.1,197.4,1.030630944
853.1,197.4,1.039876356
863.1,197.4,1.032150438
873.1,197.4,1.033365332
883.1,197.4,1.03399419
893.1,197.4,1.034906859
903.1,197.4,1.035190363
913.1,197.4,1.035737277
923.1,197.4,1.036548436
933.1,197.4,1.036677479
943.1,197.4,1.036093491
613.1,246.75,1.013400746
623.1,246.75,0.994337256
633.1,246.75,0.998250749
643.1,246.75,1.002832792
653.1,246.75,1.006100237
663.1,246.75,1.009463616
673.1,246.75,1.012901395
683.1,246.75,1.015326618
693.1,246.75,1.018280091
703.1,246.75,1.020663342
713.1,246.75,1.022984185
723.1,246.75,1.025217874
733.1,246.75,1.027339284
743.1,246.75,1.028728653
753.1,246.75,1.030538713
763.1,246.75,1.03154586
773.1,246.75,1.032941642
783.1,246.75,1.03472921
793.1,246.75,1.036268973
803.1,246.75,1.037534298
813.1,246.75,1.039161452
823.1,246.75,1.040480377
833.1,246.75,1.041464132
843.1,246.75,1.042778154
853.1,246.75,1.04372257
863.1,246.75,1.044982009
873.1,246.75,1.045836982
883.1,246.75,1.046260695
893.1,246.75,1.046966155
903.1,246.75,1.047954504
913.1,246.75,1.048468682
923.1,246.75,1.048482382
933.1,246.75,1.049520931
943.1,246.75,1.050042394
613.1,296.1,0.99863907
623.1,296.1,1.003889157
633.1,296.1,1.008277373
643.1,296.1,1.012532322
653.1,296.1,1.016186455
663.1,296.1,1.019601208
673.1,296.1,1.022731981
683.1,296.1,1.02598598
693.1,296.1,1.02934537
703.1,296.1,1.032320073
713.1,296.1,1.035343659
723.1,296.1,1.037905975
733.1,296.1,1.040458451
743.1,296.1,1.042980309
753.1,296.1,1.044415274
763.1,296.1,1.045741921
773.1,296.1,1.04747232
783.1,296.1,1.049067753
793.1,296.1,1.050506124
803.1,296.1,1.051206376
813.1,296.1,1.052255893
823.1,296.1,1.05308194
833.1,296.1,1.054244952
843.1,296.1,1.055156036
853.1,296.1,1.056391692
863.1,296.1,1.056739556
873.1,296.1,1.056769076
883.1,296.1,1.057079842
893.1,296.1,1.057672349
903.1,296.1,1.057911017
913.1,296.1,1.058417655
923.1,296.1,1.058541622
933.1,296.1,1.058919626
943.1,296.1,1.059552212
613.1,345.45,1.010825739
623.1,345.45,1.016003485
633.1,345.45,1.021231059
643.1,345.45,1.026109651
653.1,345.45,1.030576895
663.1,345.45,1.034952479
673.1,345.45,1.039198609
683.1,345.45,1.042474805
693.1,345.45,1.045917415
703.1,345.45,1.049094076
713.1,345.45,1.051963907
723.1,345.45,1.054485715
733.1,345.45,1.056618239
743.1,345.45,1.058769626
753.1,345.45,1.060921837
